platform,handle,group_label,source_type,is_verified,followers_estimate,is_active,agenda_tag,official_score,priority_score,selection_status,notes
x,x_regime_supporter_01,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_02,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_03,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_04,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_05,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_06,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_07,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_08,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_09,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_10,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_11,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_12,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_13,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_14,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_15,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_16,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_17,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_18,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_19,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_20,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_21,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_22,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_23,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_24,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_25,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_26,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_27,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_28,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_29,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_regime_supporter_30,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_01,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_02,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_03,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_04,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_05,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_06,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_07,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_08,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_09,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_10,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_11,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_12,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_13,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_14,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_15,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_16,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_17,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_18,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_19,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_20,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
